Million tonnes of carbon dioxide,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,260.328495140187,271.695135711692,285.543067153543,308.28217417188,320.455800596625,344.91155987978,351.587902436033,367.982153244317,393.724686738104,400.183126473799,398.065543079749,412.880269044079,436.389480594546,424.593716267496,430.708982477896,440.581741199829,420.670093162451,406.965330465697,387.987462811172,408.426657248288,403.473076418042,393.385210656095,406.725102867931,437.382203835063,457.382340254262,444.829934860114,427.990410538856,441.940912272781,438.445124875754,453.152950049378,471.483272468671,480.5600040094,493.984413478523,508.338177303784,513.231336416677,533.106707481667,535.837735136971,548.654820001684,557.765783208422,555.308298784308,555.026546515524,547.930412378162,574.962772089988,559.432489769533,531.556421073154,545.602996207774,549.448924536817,545.518778715283,559.301525566727,564.504799546674,559.373097648844,546.946558523923,561.222278603353,574.196617392823,562.396618045866,502.221223138273,511.321167159826,524.950198531151,519.506034163758
Mexico,62.1333287754096,65.0556725659408,66.6474981107749,72.1709116050042,79.106715482194,84.1721794423647,89.4616503533907,99.6678782780655,107.674022062682,120.859303543344,131.131719103549,138.872633147985,146.529596130364,165.143945745192,180.230136372149,198.123998258729,210.964457408292,221.337687100284,217.827070169151,226.529333256185,233.895106416079,230.372995032929,239.932728982298,240.957353765145,253.871947611915,280.810378313065,287.343984350562,290.929655350745,293.593382939696,317.967077217996,304.105945136398,313.646195866168,330.488452635705,346.78351778537,344.443564280868,370.319603536278,370.86004440859,389.05475824239,392.275539502123,413.554657236818,455.646822005088,459.151943256176,465.028569072485,475.74867544882,471.79160518758,466.833924740553,489.661677880678,499.401365603786,496.653150000609,482.808366133831,480.922312891111,491.096363190562,503.328334063059,489.033729542978,480.646255719708,413.351329858764,442.535578825336,469.267006419686,489.870606367869
US,3451.89186429977,3639.79498076439,3738.16125869751,3947.34351372719,4117.39621758461,4271.52808666229,4309.06861281395,4525.83079147339,4739.46249461174,4567.57995581627,4386.80038285255,4647.5628361702,4791.33659601212,4833.69952869415,4921.14261579514,4742.37445008755,4596.20598578453,4371.09416031837,4332.11680221558,4558.84152150154,4576.00670349598,4598.08561730385,4749.63411235809,4969.05356529355,5057.71476358175,4971.20952470414,4923.56810965762,5005.97073995788,5119.32596416585,5196.43149272725,5228.59152150061,5408.74652937334,5484.09630567208,5524.3797843901,5574.13191990182,5740.90974437818,5652.22211819049,5672.18586034095,5738.45992245339,5839.31923345802,5873.85035740212,5795.73737762449,5885.03391156252,5701.34536169143,5290.6369234696,5486.1923757242,5337.45665399684,5089.50015409477,5246.90243198164,5252.47458287235,5137.81308564451,5039.27580777928,4980.31275186763,5134.55278181192,4982.79867660697,4466.82932729647,4755.31025628466,4798.21862276737,4639.70848016068
Argentina,82.1680465769023,84.523454580456,86.8537241630256,89.3300465177745,92.1911513227969,85.9023148398846,90.8071723729372,91.5933854579926,94.928305150941,97.1394928367808,93.1466246498749,97.7961351736449,102.099445693195,99.4733548387885,106.056429941207,101.650932446122,97.2079339334741,97.1740102684125,100.097508652136,97.7682116748765,94.6333649437875,100.009146133438,104.623058410361,109.949078388512,107.207982702181,100.256535583641,102.837551794946,108.884859154234,107.679924310185,113.983777104877,118.927036487963,126.338733192068,125.013713863213,131.954986518482,136.46042261296,131.397382878233,120.70174987521,116.010469495784,125.429416325875,137.10854679998,145.253245327389,151.174680752447,164.288816985209,165.840013487265,157.988382890355,166.933825857006,173.064392258413,181.759086545557,187.562300806865,187.775475179777,191.201232603751,190.138319219463,188.469562500075,185.969652132419,174.644517177807,162.346358374237,183.477279382059,198.364871094935,190.918328460772
Brazil,51.52226589981,56.1663023734,58.0114854478743,68.1466797175817,74.257613114547,85.1042178124189,96.0681246519089,106.790411382914,127.290902212262,139.270806461573,145.133023455739,156.037997946143,162.11524271965,176.391140758991,186.481964752078,185.209348708391,179.145576529205,181.810874500079,173.512760914862,179.819277297705,185.041252172552,199.395455121528,205.803961554193,207.647947147489,211.432361930609,206.438173733652,213.371761888266,212.414314053953,222.519492909312,234.012788072228,253.603123635054,271.546639308333,289.090463668108,298.469527482986,301.183972835541,319.445204809308,328.161820126697,327.332642227411,324.599710792303,341.709938362241,345.290427699685,351.119786884636,371.229130253196,393.566252779216,368.789152968675,410.576663447544,427.982226487249,457.805010819808,487.027477545664,511.667746047489,494.770038139075,455.904726929963,461.652967642061,442.097082619555,435.520454919897,408.349879497662,461.633764056489,443.35995876696,451.048914286308
Chile,16.5480923131108,17.7636544331908,18.0893056988716,18.5618125498295,19.6802538633347,20.7596806809306,22.211288407445,21.8076119795442,21.2115602195263,20.60914720851,17.9502878289204,18.613317451207,19.4615835424047,20.2150508041959,21.533373697428,22.0811682108324,21.9397610276937,19.1764643925708,19.6429416972678,20.652705861954,20.1922597102821,20.6243935171515,21.3287526611239,25.2891901750118,30.7544306237251,31.6873948245775,32.7134617946576,33.3931725851726,35.6135670475196,38.7777664742898,42.2809317938518,47.6494558386039,54.93740043859,56.3575031000655,58.3409540485591,55.4837630074471,53.7877392750233,54.3214743919671,55.2882872652262,62.6693622171879,63.7821061294526,64.2969762710854,74.5538877502549,76.2347644050606,71.524752413854,74.5580693195807,82.7545170716476,85.5214260459179,88.9243206613755,87.2429898543924,87.3737658229074,92.2289468818749,93.8532768237301,93.4994417928451,94.8170737828448,85.1092777868616,93.8400853347848,92.9908286973077,86.4761414934183
Colombia,23.7538449987769,26.6883820146322,27.9045015573502,28.431615576148,28.4092379212379,31.1857930421829,29.88376557827,34.5782478451729,32.4491640031338,36.5421242117882,33.9519858211279,35.1780528575182,36.3263482749462,36.7439434528351,37.4394975751638,38.129905372858,38.8106042593718,39.6024719029665,42.1634360700846,41.6479907184839,42.5305217728019,42.9208582565188,47.6564450263977,45.6732265986502,47.838022056967,42.2417380772531,44.0569958016276,51.7898122817278,53.5978145860136,56.5446290783584,57.7153582796454,57.4490660652518,61.759465508163,63.0693582221866,55.1812816672027,55.1017050892115,55.3215882331133,53.3625990897417,53.5990697592497,56.1963894963264,53.1369381695986,66.5858833193779,66.4532005935907,70.4571492150426,71.2819171622396,77.0533186197281,75.2199060022831,83.4841713756323,89.1445378065109,94.9354263544083,87.6623382866383,102.266342297196,95.2647255063057,96.940153372474,99.6798808500171,89.62067149207,96.8263328913599,102.98974773474,110.207145826891
Ecuador,2.06851265579462,2.15055939555168,2.3124343007803,2.7633608430624,2.93198664486408,3.4808998554945,3.80288679897785,3.83942840993404,4.32080744951963,4.81038914620876,4.83390632271767,5.62021788954735,6.80158864893019,6.93136101216078,7.31010456010699,9.15445060096681,10.0321928262711,10.9251941405237,10.0633097533137,10.600992705673,12.8224631343037,13.0154179669917,13.0638305367902,15.6093396004289,15.8111782968044,16.6094215724152,18.7346110604703,18.7951371541712,18.81176033261,20.2319869177882,19.9098871228052,22.5007205149159,25.7030140631832,25.6656375308521,22.4465335286222,20.2706322516315,20.8805757821538,20.2875421815552,20.674659174867,23.0971272564493,25.2294225888327,26.7341867499053,26.999972326681,27.5672270059586,27.9116657394916,32.1664813635871,32.7690749736503,34.2087136683986,36.4889013264328,38.4226291207597,37.556963651441,35.4348986558616,34.4071141881868,37.2404630137607,35.7440434349701,29.2205845741555,36.188211674802,39.5894248308614,42.222698376514
Peru,12.1373625174165,14.9923331439495,15.0740294009447,15.2433471493423,15.2155891433358,15.9632204249501,15.961416579783,13.7931624315679,15.8839176259935,18.6084752120078,19.6484647244215,19.79799387604,19.8621105998755,19.6847358364612,20.3833624813706,21.9888958968222,22.5322444345802,22.4589932318777,19.1371593186632,19.8970899041742,18.9622444594279,20.3733041295782,22.4670137222856,22.0916591193527,19.7567970659584,19.526294907555,18.568491303362,19.1825987929478,19.9464988335967,21.5593877385836,24.1349775129929,25.240666768048,24.524785425514,25.0927398381755,25.4790296861902,25.6778946714476,24.125649462454,24.813606522046,24.0595219112001,27.3021583109585,28.1930149255058,26.9399423894938,30.4605342559516,33.9199302289635,33.7264585238372,39.0431723650036,43.7882584127874,44.818782929513,46.0409064125088,46.8399227056652,49.1587179512717,53.1516042789444,51.0420467588119,52.8447907604277,54.3920259694569,45.3308246284723,53.9854896478355,57.8853627839999,59.4651888856606
Trinidad & Tobago,7.66158482059836,8.00295576825738,8.47163904830813,8.70100329443812,9.02107645198703,9.71819495409727,9.87402255088091,14.3048082254827,14.1785537004471,13.3127924278378,10.2122592180967,11.7077357321978,11.745097771287,10.9547225534916,9.14096292853355,8.57289748638868,9.58150807768106,9.91852209717035,8.96657498180866,8.14405949786305,8.40068889036775,9.10278630256653,7.95388818159699,8.32778408937156,8.03479769825935,9.6477071121335,9.08080548606813,10.5907074455172,10.6780176237226,10.1513264514506,11.2645283322781,11.7926603285596,10.7998448461294,10.2793953677174,12.4064876153134,12.3161613327102,13.591232938722,15.0860492736101,17.8082386777387,18.7308367307414,19.9827346238599,22.9986640149145,23.6305421685684,23.7678005576017,22.2448494335476,24.6333303257707,24.8828149678302,24.1568210144469,25.0631289376179,24.6871023126732,23.7626144730893,21.479179635644,20.7066766880453,19.5917156338692,18.9571527391672,16.3545992225409,15.5223571956158,15.7539357990026,15.1788247227669
