country,solar_pv_2022,solar_csp_2022,solar_pv_2023,solar_csp_2023,wind_onshore_2022,wind_offshore_2022,wind_onshore_2023,wind_offshore_2023
Canada,5311.82,0.0,5757.33,0.0,15264.978,0.0,16989.418,0.0
Mexico,9346.756,17.0,10893.135999999999,17.0,7317.66,0.0,7317.68,0.0
US,112880.947,1480.0,137725.277,1480.0,141632.612,41.3,147978.561,41.3
Argentina,1116.264,0.0,1408.431,0.0,3310.2200000000003,0.0,3706.32,0.0
Brazil,25520.472,0.0,37449.205,0.0,24163.138,0.0,29135.122,0.0
Chile,6417.035,108.27,8366.447,108.27,3829.679,0.0,4510.214,0.0
Honduras,528.8119999999999,0.0,528.8119999999999,0.0,0.0,0.0,0.0,0.0
The Dominican Republic,731.669,0.0,1073.287,0.0,0.0,0.0,0.0,0.0
Other S. & Cent. America,4039.3419999999996,0.0,4668.737000000001,0.0,2518.839,0.0,2742.419,0.0
Austria,3791.704,0.0,6831.704,0.0,3579.236,0.0,3977.236,0.0
Belgium,6756.1,0.0,8549.1,0.0,3041.6,2261.8,3241.75,2261.8
Bulgaria,1737.184,0.0,2937.184,0.0,702.085,0.0,702.085,0.0
Czech Republic,2420.481,0.0,2499.281,0.0,0.0,0.0,0.0,0.0
Denmark,3069.9,0.0,3529.0,0.0,4778.118,2305.7,4832.118,2649.7
France,17341.293,9.0,20542.293,9.0,20808.575,2.0,22193.575,2.0
Germany,67477.0,2.0,81737.0,2.0,58014.0,8149.0,61052.0,8407.0
Greece,5430.083,0.0,7030.083,0.0,4702.33,0.0,5220.33,0.0
Hungary,4235.0,0.0,5835.0,0.0,0.0,0.0,0.0,0.0
Italy,24555.248,6.07,29789.248,6.07,11820.508,0.0,12307.508,0.0
Lithuania,572.0,0.0,1165.0,0.0,0.0,0.0,0.0,0.0
Netherlands,19599.807,0.0,23904.0,0.0,6185.344,2569.5,6771.0,3978.0
Poland,12170.392,0.0,15809.392,0.0,8150.235,0.0,9307.235,0.0
Portugal,2646.256,0.0,3876.256,0.0,5513.14,24.999,5592.14,24.999
Romania,1808.929,0.091,1916.929,0.091,3015.202,0.0,3087.202,0.0
Slovakia,549.0,0.0,631.08,0.0,0.0,0.0,0.0,0.0
Slovenia,626.164,0.0,1034.164,0.0,0.0,0.0,0.0,0.0
Spain,23311.261,2304.013,28712.261,2304.013,30108.764,5.0,31020.764,7.0
Sweden,2388.0,0.0,3488.0,0.0,14086.0,193.0,16059.0,193.0
Switzerland,4339.92,0.0,5839.92,0.0,0.0,0.0,0.0,0.0
Turkey,9424.63,1.0,11291.63,1.0,11396.16,0.0,11697.16,0.0
Ukraine,8062.0,0.0,8062.0,0.0,1761.0,0.0,1761.0,0.0
